,@cant_adj,@desc_articulo,@desc_color,@desc_detalle_variante,@desc_marca,@id_articulo,@id_color,@id_compra,@id_detalle_variante,@id_marca,@id_moneda,@id_unidad,@id_variante,@medida_presentacion,@medida_variante,@nombre_comercial,@nro_doc_prov,@nro_item,@precio_tot_imp,@precio_unit,@presentacion,@tipo_doc_prov,@unidad,@unidad_medida_presentacion,@unidad_medida_variante,@variante,key_id,@variacion
23,10.00,LAMPARA LED,,,,10499,,726422,,,0,22,848|1|1,-----,9,FIERRO VIGNOLI S A FIVISA,210000400017,4,831.87,68.1860,-----,R,UNIDAD,-----,V,VOLTAJE,4.0,
24,2.00,ARTEFACTO DE ILUMINACION PARA LAMPARA DE MERCURIO,,,,6437,,726422,,,0,22,1|1|1,-----,-----,FIERRO VIGNOLI S A FIVISA,210000400017,5,1758.73,720.7900,-----,R,UNIDAD,-----,-----,-----,5.0,
25,2.00,EQUIPO DE ENCENDIDO PARA LAMPARA DE VAPOR DE MERCURIO HALOGENADO (HPIT),,,,75844,,726422,,,0,22,14979|1|1,-----,400,FIERRO VIGNOLI S A FIVISA,210000400017,6,2709.48,1110.4410,-----,R,UNIDAD,-----,W,POTENCIA,6.0,
26,9.00,PORTALAMPARA DE BAKELITA PARA COLGAR,,,,298,,726422,,,0,22,27708|1|1,-----,ROSCA EDISON (E27),FIERRO VIGNOLI S A FIVISA,210000400017,7,13151.73,1197.7900,-----,R,UNIDAD,-----,-----,TIPO,7.0,
27,100.00,CABLE CONDUCTOR SUPERPLASTICO PARA DESCARGA A TIERRA,,,,12265,,726422,,,0,14,182|1|1,-----,2,FIERRO VIGNOLI S A FIVISA,210000400017,8,3043.8600000000001,24.9497,-----,R,M,-----,MM2,SECCION,8.0,
28,10.00,CAJA ESTANCA PARA INSTALACION TELEFONICA,,,,8760,,726422,,,0,22,19279|1|1,-----,10 X 10,FIERRO VIGNOLI S A FIVISA,210000400017,9,1242.9400000000001,101.8800,-----,R,UNIDAD,-----,CM,LARGO X ANCHO,9.0,
29,20.00,PRENSACABLE DE ACERO,,,,2540,,726422,,,0,22,14982|1|1,-----,3/4,FIERRO VIGNOLI S A FIVISA,210000400017,10,434.56,17.8100,-----,R,UNIDAD,-----,PLG,SECCION,10.0,
30,10.00,PRENSACABLE DE ACERO,,,,2540,,726422,,,0,22,14981|1|1,-----,1/2,FIERRO VIGNOLI S A FIVISA,210000400017,11,193.97,15.8990,-----,R,UNIDAD,-----,PLG,SECCION,11.0,
31,20.00,ESPATULA DE USO ODONTOLOGICO,,,,2941,,727001,,,0,22,20081|1|1,-----,PLASTICO,ERGON DENTAL S A,210260940011,2,2600.02,106.5580,-----,R,UNIDAD,-----,-----,TIPO,1.0,
32,1000.00,AGUJA CARPULE LARGA,,,,17159,,727001,,,0,22,2929|1|1,-----,30,RIBOIRA PINTOS MARIANA,216359040011,1,4660.3999999999996,3.8200,-----,R,UNIDAD,-----,-----,NUMERO,2.0,MISAWA
33,1.00,SERVICIO DE CATERING,,,,48412,,728162,,,0,22,1|1|1,-----,-----,NUBAZEL S A,214884830015,1,1450.01,1188.5300,-----,R,UNIDAD,-----,-----,-----,1.0,
34,2.00,SWITCH DE FIBRA OPTICA,,,,31723,,702085,,,0,22,1|1|1,-----,-----,ARNALDO C CASTRO S A,210194590011,1,390280.44,159951.0000,-----,R,UNIDAD,-----,-----,-----,1.0,Pago 30 días
35,2.00,SERVICIO DE MANTENIMIENTO DE GARANTIA SEGUN KILOMETRAJE (VEHICULO),,,,11643,,728164,,,0,219,1|1|1,-----,-----,CASEY SOCIEDAD ANONIMA,211377330017,1,34449,14118.4430,-----,R,MENSUAL,-----,-----,-----,1.0,
36,40000.00,COMPOTERA,TRANSPARENTE,,,312,32,726471,,,0,22,20081|1|1,-----,PLASTICO,ARLOMAR S A,211010960013,1,78080,1.6000,-----,R,UNIDAD,-----,-----,MATERIAL,1.0,OPCION 2
37,30000.00,BANDEJA DE ESPUMA DE POLIESTIRENO,BLANCO,,,14579,8,726471,,,0,22,98954|1|1,-----,21 X 18,SEINE S A,212362930011,2,106506,2.9100,-----,R,UNIDAD,-----,CM X CM,TAMAÑO,2.0,OPCION 2
38,20000.00,VASO TERMICO,,,,64636,,726471,,,0,22,15004|1|1,-----,180,PROMACOR S A,213640750014,5,19520,0.8000,-----,R,UNIDAD,-----,CC,CAPACIDAD,3.0,VASO TERMICO 180ML
39,20000.00,VASO TERMICO,,,,64636,,726471,,,0,22,15003|1|1,-----,240,PROMACOR S A,213640750014,6,21716,0.8900,-----,R,UNIDAD,-----,CC,CAPACIDAD,4.0,VASO TERMICO 240ML
40,30000.00,CUBIERTO DESCARTABLE,,,,14313,,726471,,,0,22,20860|1|1,-----,TENEDOR,EMPREST SRL,213937700015,8,15372,0.4200,-----,R,UNIDAD,-----,-----,TIPO,5.0,Forma de pago: SIIF - Envío incluido
41,30000.00,CUBIERTO DESCARTABLE,,,,14313,,726471,,,0,22,68573|1|1,-----,CUCHARA MEDIANA,EMPREST SRL,213937700015,9,15372,0.4200,-----,R,UNIDAD,-----,-----,TIPO,6.0,Copobras - Brasil
42,30000.00,CUBIERTO DESCARTABLE,,,,14313,,726471,,,0,22,20861|1|1,-----,CUCHILLO,EMPREST SRL,213937700015,7,15372,0.4200,-----,R,UNIDAD,-----,-----,TIPO,7.0,Copobras - Brasil
43,20000.00,VASO DESCARTABLE,,,,6922,,726471,,,0,22,15004|1|1,-----,180,EMPREST SRL,213937700015,3,6100,0.2500,-----,R,UNIDAD,-----,CC,CAPACIDAD,8.0,Copobras - Brasil
44,20000.00,VASO DESCARTABLE,,,,6922,,726471,,,0,22,14963|1|1,-----,200,EMPREST SRL,213937700015,4,7076,0.2900,-----,R,UNIDAD,-----,CC,CAPACIDAD,9.0,Copobras - Brasil
45,50.00,PLANTA DE AGAVE AMERICANA VARIEGADA,,,,1946,,728005,,,0,22,1|1|1,-----,-----,BUONOMO ROVISI JOSE PABLO,213056260010,1,6100,100.0000,-----,R,UNIDAD,-----,-----,-----,1.0,
46,1.00,MUEBLE ARMERO,,,,65932,,724294,,,0,22,1|1|1,-----,-----,FUMAYA S A,210187060010,2,5342.3800000000001,4379.0000,-----,R,UNIDAD,-----,ARMAS,CAPACIDAD,1.0,
47,1.00,ESCRITORIO DE MADERA,,,,1134,,724294,,,0,22,182|1|1,-----,2,NICOLAS DE MARCO Y CIA S A,210262210010,1,9968.6200000000008,8171.0000,-----,R,UNIDAD,-----,-----,NUMERO DE CAJONES,2.0,Escritorio línea Office
48,10.00,SILLA DE MADERA Y METAL,,,,5523,,724294,,,0,22,1|1|1,-----,-----,NICOLAS DE MARCO Y CIA S A,210262210010,4,38820.400000000001,3182.0000,-----,R,UNIDAD,-----,-----,-----,3.0,Silla línea Confort
49,1.00,IMPRESORA MULTIFUNCION,,,,32089,,724294,,,0,22,28060|1|1,-----,MAS DE 20000,ROMIS S A,211488740019,5,8052,6600.0000,-----,R,UNIDAD,-----,UNIDAD,CICLO MENSUAL,4.0,Impresora Láser SAMSUNG M4020ND
50,1.00,SILLA DE METAL TAPIZADA,,,,6497,,724294,,,0,22,36023|1|1,-----,GIRATORIA,SCALABRINI DE MAINE JORGE DANIEL,212319150018,3,3525.8000000000002,2890.0000,-----,R,UNIDAD,-----,-----,TIPO,5.0,Impresora Láser SAMSUNG M4020ND
51,1.00,EQUIPO DE AIRE ACONDICIONADO CENTRAL,,,,30649,,724294,,,0,22,24228|1|1,-----,90000,ALFAHOGAR S A,213401300018,6,9991.7999999999993,8190.0000,-----,R,UNIDAD,-----,BTU / H,POTENCIA,6.0,Impresora Láser SAMSUNG M4020ND
52,1.00,SERVICIO DE PUBLICIDAD Y DIFUSION,,,,753,,724644,,,0,22,34192|1|1,-----,EN PERIODICO,WALFUR S.A.,216945310012,1,48800,40000.0000,-----,R,UNIDAD,-----,-----,TIPO,1.0,
53,4.00,"NEUMATICO PARA AUTOMOVILES, CAMIONETAS Y MICROBUSES",,,,7570,,726186,,,0,22,97973|1|1,-----,225/75 R16C,RUEDAS EL GAUCHO S R L,211171940014,1,25200.32,5164.0000,-----,R,UNIDAD,-----,-----,MEDIDA,1.0,MARCA GOODYEAR
54,1.00,MANTENIMIENTO DE SECUENCIADOR AUTOMATICO DE ADN,,,,69164,,728159,,,1,22,1|1|1,-----,-----,VISUR PRODUCTOS DIAGNOSTICOS LIMITADA,213220280015,1,1099.99,901.6300,-----,R,UNIDAD,-----,-----,-----,1.0,
55,3.00,ALMIDON DE MAIZ,,,,146,,728161,,,0,11,1|1|1,-----,-----,DISTRIBUIDORA SANTA ANA S A,211603980013,1,481.5,131.5570,-----,R,KG,-----,-----,TIPO,1.0,
56,5.00,FIDEOS,,,,151,,728161,,,0,11,80175|34|39,0.5,AL HUEVO MOÑAS,DISTRIBUIDORA SANTA ANA S A,211603980013,2,987.5,179.5450,PAQUETE,R,KG,KG,-----,TIPO,2.0,
57,5.00,FIDEOS,,,,151,,728161,,,0,11,20591|34|473,5,TIRABUZON,DISTRIBUIDORA SANTA ANA S A,211603980013,3,987.5,179.5450,PAQUETE,R,KG,KG,-----,TIPO,3.0,
58,5.00,FIDEOS,,,,151,,728161,,,0,11,20588|34|473,5,PASTIN,DISTRIBUIDORA SANTA ANA S A,211603980013,4,987.5,179.5450,PAQUETE,R,KG,KG,-----,TIPO,4.0,
59,27.00,GELATINA DIETETICA,,,,16056,,728161,,,0,22,17093|18|752,8,DURAZNO,DISTRIBUIDORA SANTA ANA S A,211603980013,5,1663.21,50.4920,CAJA,R,UNIDAD,PORCION,-----,SABOR,5.0,
60,27.00,GELATINA DIETETICA,,,,16056,,728161,,,0,22,15039|18|752,8,FRUTILLA,DISTRIBUIDORA SANTA ANA S A,211603980013,6,1663.21,50.4920,CAJA,R,UNIDAD,PORCION,-----,SABOR,6.0,
61,12.00,HARINA DE MAIZ (USO HUMANO),,,,148,,728161,,,0,11,1|1|1,-----,-----,DISTRIBUIDORA SANTA ANA S A,211603980013,7,190.81,14.4550,-----,R,KG,-----,-----,TIPO,7.0,
62,100.00,PAN RALLADO,,,,14022,,728161,,,0,11,1|34|85,1,-----,DISTRIBUIDORA SANTA ANA S A,211603980013,8,6860.0600000000004,56.2300,PAQUETE,R,KG,KG,-----,TIPO,8.0,
63,20.00,QUESO FRESCO (USO HUMANO),,,,173,,728161,,,0,11,17086|20|14972,250,RALLADO,DISTRIBUIDORA SANTA ANA S A,211603980013,9,2105.9899999999998,86.3110,PAQUETE,R,KG,G,-----,TIPO,9.0,
64,10.00,SAL FINA,,,,164,,728161,,,0,22,14933|8|39,0.5,COMUN,DISTRIBUIDORA SANTA ANA S A,211603980013,10,247,20.2460,ENVASE,R,UNIDAD,KG,-----,TIPO,10.0,
65,24.00,SERVILLETA,,,,4509,,728161,,,0,22,1|1|1,-----,-----,DISTRIBUIDORA SANTA ANA S A,211603980013,11,563.99000000000001,19.2620,-----,R,UNIDAD,-----,-----,-----,11.0,
66,4.00,ESENCIA DE VAINILLA,,,,161,,728161,,,0,6,1|7|14972,250,-----,DISTRIBUIDORA SANTA ANA S A,211603980013,12,1130,231.5570,ENVASE,R,FRASCO,CC,-----,-----,12.0,
67,12.00,VINAGRE,,,,160,,728161,,,0,12,1|1|1,-----,-----,DISTRIBUIDORA SANTA ANA S A,211603980013,13,576,39.3440,-----,R,L,-----,-----,VARIEDAD,13.0,
68,81.00,GELATINA,,,,149,,728161,,,0,22,1|9|15147,170,-----,DISTRIBUIDORA SANTA ANA S A,211603980013,14,4608.8699999999999,46.6390,ENVASE,R,UNIDAD,G,-----,SABOR,14.0,
69,24.00,POLVO PARA PREPARAR HELADO,,,,13979,,728161,,,0,22,1|1|1,-----,-----,DISTRIBUIDORA SANTA ANA S A,211603980013,15,660,22.5410,-----,R,UNIDAD,-----,-----,SABOR,15.0,
70,2.00,CARGADOR DE BATERIA PARA NOTEBOOK,,,,64830,,727437,,,0,22,1|1|1,-----,-----,CONAGRO LIMITADA,211223070015,1,3250.0799999999999,1332.0000,-----,R,UNIDAD,-----,-----,-----,1.0,Cargador Batería Laptop Probook HP 450 G4 ORIGINAL
71,10.00,MANTENIMIENTO DE ASCENSOR,,,,1873,,702881,,,0,219,1|1|1,-----,-----,FOUNT CORAL SA,216985130015,1,11590,950.0000,-----,R,MENSUAL,-----,-----,-----,1.0,Servicio de Mantenimiento de Ascensor
72,10.00,SELLO AUTOMATICO,,,,8163,,706254,,,0,22,19816|1|1,-----,RECTANGULAR,OGI SOCIEDAD ANONIMA,211485800010,1,2562,210.0000,-----,R,UNIDAD,-----,-----,TIPO,1.0,1.1 SELLO 1 LINEA
73,10.00,SELLO AUTOMATICO,,,,8163,,706254,,,0,22,19816|1|1,-----,RECTANGULAR,OGI SOCIEDAD ANONIMA,211485800010,1,2562,210.0000,-----,R,UNIDAD,-----,-----,TIPO,2.0,1.2 SELLO 2 LINEAS
74,40.00,SELLO AUTOMATICO,,,,8163,,706254,,,0,22,19816|1|1,-----,RECTANGULAR,OGI SOCIEDAD ANONIMA,211485800010,1,10248,210.0000,-----,R,UNIDAD,-----,-----,TIPO,3.0,1.3 SELLO 3 LINEAS
75,40.00,SELLO AUTOMATICO,,,,8163,,706254,,,0,22,19816|1|1,-----,RECTANGULAR,OGI SOCIEDAD ANONIMA,211485800010,1,10248,210.0000,-----,R,UNIDAD,-----,-----,TIPO,4.0,1.4 SELLO 4 LINEAS
76,40.00,SELLO AUTOMATICO,,,,8163,,706254,,,0,22,19816|1|1,-----,RECTANGULAR,OGI SOCIEDAD ANONIMA,211485800010,1,14591.200000000001,299.0000,-----,R,UNIDAD,-----,-----,TIPO,5.0,1.5 SELLO 5 LINEAS
77,10.00,SELLO AUTOMATICO,,,,8163,,706254,,,0,22,19816|1|1,-----,RECTANGULAR,OGI SOCIEDAD ANONIMA,211485800010,1,3647.8000000000002,299.0000,-----,R,UNIDAD,-----,-----,TIPO,6.0,1.6 SELLO 6 LINEAS
78,5.00,SELLO FECHADOR,,,,206,,706254,,,0,22,1|1|1,-----,-----,OGI SOCIEDAD ANONIMA,211485800010,2,2867,470.0000,-----,R,UNIDAD,-----,CM,LONGITUD,7.0,1.1 SELLO FECHADOR 3 LINEAS
79,5.00,SELLO FECHADOR,,,,206,,706254,,,0,22,1|1|1,-----,-----,OGI SOCIEDAD ANONIMA,211485800010,2,2867,470.0000,-----,R,UNIDAD,-----,CM,LONGITUD,8.0,1.2 SELLO FECHADOR 4 LINEAS
80,9.00,ARRENDAMIENTO DE STAND,,,,7140,,728173,,,1,22,1|1|1,-----,-----,TACSUS SOCIEDAD ANÓNIMA,218260860013,1,81740,7444.4444,-----,R,UNIDAD,-----,-----,-----,1.0,
81,2.00,AURICULARES,,,,5263,,728172,,,0,22,27923|1|1,-----,PROFESIONAL,POLAKOF Y CIA SOCIEDAD ANONIMA,100004430014,1,6100,2500.0000,-----,R,UNIDAD,-----,-----,TIPO,1.0,
82,6.00,MANTENIMIENTO Y REP. DE VEHICULOS Y EQUIPOS INDUSTRIALES NO TRACCIONADOS,,,,26546,,728178,,,0,22,1|1|1,-----,-----,MONTERO LIMA SANTIAGO ANDRES,180163660012,1,67087.800000000003,9165.0000,-----,R,UNIDAD,-----,-----,-----,1.0,
83,1.00,ROTOPERCUTOR,,,,9675,,728179,,,0,22,1929|1|1,-----,20,KINTAMEL S.A.,217773500011,1,7034.3999999999996,5765.9000,-----,R,UNIDAD,-----,MM,DIAMETRO,1.0,
84,4.00,ACIDO HIPOCLOROSO USO MEDICINAL,,XTERIDES,EMARLAN,68766,,728156,249809,1286,0,12,14972|6|85,1,250,EMARLAN S A,211031930016,1,3172,650.0000,ENVASE,R,L,L,MG/ML,CONCENTRACION,1.0,
85,1.00,EQUIPO DE AIRE ACONDICIONADO SPLIT,,,,4472,,723437,,,0,22,21228|1|1,-----,18000,FRIOTECNICA ANVIC S.R.L.,211533550015,1,27779.400000000001,22770.0000,-----,R,UNIDAD,-----,BTU / H,POTENCIA,1.0,
86,1.00,INSTALACION DE EQUIPO DE AIRE ACONDICIONADO,,,,8441,,723437,,,0,22,21228|1|1,-----,18000,FRIOTECNICA ANVIC S.R.L.,211533550015,3,3050,2500.0000,-----,R,UNIDAD,-----,BTU / H,POTENCIA,2.0,
87,1.00,CARRETILLA DE HIERRO CALIBRADA CON RUEDA DE GOMA MACIZA,,,,12812,,728185,,,0,22,1|1|1,-----,-----,LOPEZ CASTRO MARIA JOSE,040464200015,1,2339.96,1918.0000,-----,R,UNIDAD,-----,-----,-----,1.0,
88,100.00,SERVICIO DE MECANICA AUTOMOTRIZ,,,,43576,,728191,,,0,46,1|1|1,-----,-----,BOR S A,210821480014,1,471000,3860.6557,-----,R,HORA,-----,-----,-----,1.0,
89,4.00,BASTIDOR DE SUSPENSION,,,,72184,,728177,,,0,22,17047|1|1,-----,AUTOMOVIL,AUTOMOTRIZ FRANCO URUGUAYA S A (A F S A),211452010010,1,70347.979999999996,14415.5700,-----,R,UNIDAD,-----,-----,TIPO DE VEHICULO,1.0,GOF 0330/KOF 3009
90,4.00,AMORTIGUADOR TRASERO PARA EQUIPO DE TRANSPORTE,,-----,FOTON,66092,,728177,256384,1350,0,22,21514|1|1,-----,FURGON,AUTOMOTRIZ FRANCO URUGUAYA S A (A F S A),211452010010,2,12295.99,2519.6700,-----,R,UNIDAD,-----,-----,TIPO DE VEHICULO,2.0,GOF 0330/KOF 3009
91,2.00,TACO DE GOMA AMORTIGUADOR,,-----,PEUGEOT,23462,,728177,160916,9,0,22,21514|1|1,-----,FURGON,AUTOMOTRIZ FRANCO URUGUAYA S A (A F S A),211452010010,3,9342.9799999999996,3829.0900,-----,R,UNIDAD,-----,-----,TIPO DE VEHICULO,3.0,GOF 0330
92,1.00,ABERTURA DE ALUMINIO,,,,2819,,718963,,,0,22,100040|1|1,-----,PUERTA VAIVEN,ROLANDO PEREYRA JUAN MARCELO,218009400015,1,41480,34000.0000,-----,R,UNIDAD,-----,-----,TIPO,1.0,
93,14.00,CARTEL DE PVC,,,,36294,,724738,,,0,22,1|1|1,-----,-----,TECNOBALIZAS SRL,217657970015,1,2322.8800000000001,136.0000,-----,R,UNIDAD,-----,M,LARGO x ANCHO,1.0,Señalística para desfibrilador
94,100.00,SERVICIO DE MECANICA AUTOMOTRIZ,,,,43576,,728199,,,0,22,1|1|1,-----,-----,CYMACO S A,210218730012,1,471000,3860.6557,-----,R,UNIDAD,-----,-----,-----,1.0,
95,5.00,CENTELLOGRAMA OSEO,,,,24253,,728195,,,0,22,23460|1|1,-----,CONSULTORIO COORDINADO ,SOCIEDAD MEDICO QUIRURGICA DE SALTO IAMPP,160142250015,1,44000,8000.0000,-----,R,UNIDAD,-----,-----,MODALIDAD,1.0,
96,2.00,ECOCARDIOGRAMA DOPPLER COLOR,,,,24437,,728195,,,0,22,23460|1|1,-----,CONSULTORIO COORDINADO ,SOCIEDAD MEDICO QUIRURGICA DE SALTO IAMPP,160142250015,2,8721.9200000000001,3964.5100,-----,R,UNIDAD,-----,-----,MODALIDAD,2.0,
97,2.00,CORTINA VENECIANA,GRIS,,,68869,17,713407,,,0,22,20816|1|1,-----,ALUMINIO,SAMYSOL S.A.,213336120014,1,13942.16,5714.0000,-----,R,UNIDAD,-----,-----,MATERIAL,1.0,
98,100.00,SERVICIO DE MECANICA AUTOMOTRIZ,,,,43576,,728203,,,0,22,1|1|1,-----,-----,AUTO REPUESTOS LUCHO S A,211402250018,1,471000,3860.6557,-----,R,UNIDAD,-----,-----,-----,1.0,
99,1.00,PUNCION BIOPSICA BAJO TAC SIN DRENAJE (OSEO),,,,24565,,724425,,,0,22,23460|1|1,-----,CONSULTORIO COORDINADO ,"GRILLO CRUZ BARTOLOME ANGEL, BONNEVAUX CASTILLO MARIA STELLA Y OTROS",210905410017,1,24758.599999999999,22507.8200,-----,R,UNIDAD,-----,-----,MODALIDAD,1.0,
100,12.00,ALCOHOL ETILICO (ETANOL),,,,10052,,723610,,,0,12,9829|1|1,-----,99,SETARIL SOCIEDAD ANONIMA,214002370010,1,936.96000000000004,64.0000,-----,R,L,-----,%,CONCENTRACION,1.0,
101,3.00,CORTINA VENECIANA,GRIS,,,68869,17,723889,,,0,22,20816|1|1,-----,ALUMINIO,SAMYSOL S.A.,213336120014,1,26388.599999999999,7210.0000,-----,R,UNIDAD,-----,-----,MATERIAL,1.0,2.75m de alto por 1.70m de ancho
102,1.00,SERVICIO DE FUMIGACION,,,,7373,,727017,,,0,22,1|1|1,-----,-----,IFESUR SOCIEDAD ANONIMA,215047650010,1,6710,5500.0000,-----,R,UNIDAD,-----,-----,-----,1.0,SERVICIO DE CONTRA CUCARACHAS  Y ROEDORES CON 6 MESES DE GARANTÍA.
103,35.00,PAN RALLADO,,,,14022,,724674,,,0,11,1|34|85,1,-----,ALONSO BRUSCIANI MARTIN ENRIQUE,020529560016,16,3757.5999999999999,88.0000,PAQUETE,R,KG,KG,-----,TIPO,1.0,
104,6.00,POLVO PARA FLAN,,,,150,,724674,,,0,11,14933|8|85,1,COMUN,PINABEL S A,214973000018,4,1025.97,140.1600,ENVASE,R,KG,KG,-----,TIPO,2.0,
